 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
10.99.15.34 - - [29/May/2019 13:17:38] "GET / HTTP/1.1" 200 -
10.99.15.34 - - [29/May/2019 13:17:38] "GET /favicon.ico HTTP/1.1" 404 -
10.99.15.34 - - [29/May/2019 13:31:25] "POST / HTTP/1.1" 200 -
10.99.15.34 - - [29/May/2019 13:32:04] "POST / HTTP/1.1" 302 -
10.99.15.34 - - [29/May/2019 13:32:04] "GET / HTTP/1.1" 200 -
10.99.15.34 - - [29/May/2019 13:32:07] "POST / HTTP/1.1" 302 -
10.99.15.34 - - [29/May/2019 13:32:07] "GET / HTTP/1.1" 200 -
10.99.15.34 - - [29/May/2019 13:32:23] "POST / HTTP/1.1" 200 -
10.99.15.34 - - [29/May/2019 13:33:26] "POST / HTTP/1.1" 302 -
10.99.15.34 - - [29/May/2019 13:33:26] "GET / HTTP/1.1" 200 -
10.99.15.34 - - [29/May/2019 13:33:44] "POST / HTTP/1.1" 302 -
10.99.15.34 - - [29/May/2019 13:33:44] "GET /uploaded?filename=PendingChanges-TobeClosed.csv HTTP/1.1" 200 -
10.99.15.34 - - [29/May/2019 13:38:00] "GET / HTTP/1.1" 200 -
